id,name,country,rspo_member_since,external_link,description_attribution,description
1,Ferrero,Luxembourg,2005-01-17,https://www.ferrerocsr.com/,Wikipedia & RSPO,"Ferrero SpA, more commonly known as Ferrero Group, is an Italian manufacturer of branded chocolate and confectionery products, and the second biggest chocolate producer and confectionery company in the world. It was founded in 1946 in Alba, Piedmont, Italy, by Pietro Ferrero, a confectioner and small-time pastry maker who laid the groundwork for Nutella and famously added hazelnut to save money on chocolate. Family-owned to this day, the company has built itself into an international group with commercial interests in the Americas, Australasia, Asia and Africa, as well as in Western and Eastern Europe. The Group, which is headquartered in Luxembourg, has three R&D centres and twenty production plants.  Thanks to the dedicated commitment of 22,000 employees, brands like Nutella, Ferrero Rocher, Mon Cheri, Tic Tac, Kinder Bueno, Kinder Sorpresa and Raffaello have become worldwide successes.  For Ferrero, respecting nature is so important that the Group considers the objectives of its environmental policy on a par with its production goals. In order to do this, it has set ambitious goals on every impact it could have on the environment."
2,Kellogg Company,United States,2018-07-28,http://crreport.kelloggcompany.com/esg-overview,Wikipedia,"The Kellogg Company, doing business as Kellogg's, is an American multinational food manufacturing company headquartered in Battle Creek, Michigan, United States. Kellogg's produces cereal and convenience foods, including crackers and toaster pastries and markets their products by several well known brands including Corn Flakes, Frosted Flakes, Pringles, Eggo, and Cheez-It. Kellogg's mission statement is ""Nourishing families so they can flourish and thrive.""Kellogg's products are manufactured and marketed in over 180 countries. Kellogg's largest factory is at Trafford Park in Trafford, Greater Manchester, United Kingdom, which is also the location of its UK headquarters. Other corporate office locations outside of Battle Creek include Chicago, Dublin (European Headquarters), Shanghai, and Quertaro City."
3,PepsiCo,United States,2009-05-06,https://www.pepsico.com/sustainability/esg-topics-a-z,Wikipedia,"PepsiCo, Inc. is an American multinational food, snack and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo has interests in the manufacturing, marketing, and distribution of grain-based snack foods, beverages, and other products. PepsiCo was formed in 1965 with the merger of the Pepsi-Cola Company and Frito-Lay, Inc. PepsiCo has since expanded from its namesake product Pepsi to a broader range of food and beverage brands, the largest of which included an acquisition of Tropicana Products in 1998 and the Quaker Oats Company in 2001, which added the Gatorade brand to its portfolio."
4,Royal FrieslandCampina N.V.,Netherlands,2007-12-31,https://www.frieslandcampina.com/sustainability/,Wikipedia,"Royal FrieslandCampina N.V. is a Dutch multinational dairy cooperative which is based in Amersfoort, Netherlands. It is the result of a merger between Friesland Foods and Campina on 31 December 2008.  It is the world's largest dairy co-operative and one of the top 5 dairy companies in the world with annual revenue of 11 billion euros (2016). FrieslandCampina has branch offices in 33 countries and employs a total of 21,927 people.  Its main brands are Friesche Vlag (or Frisian Flag in Indonesian market), Chocomel, Fristi, Friso, Dutch Lady, Milner, Campina, Landliebe, Optimel, Mona and ""Mix'it"". FrieslandCampina's products are sold in more than 100 countries."
5,Johnson & Johnson,United States,2006-10-03,https://www.jnj.com/sustainability-reporting,Wikipedia,"Johnson & Johnson is an American multinational corporation founded in 1886 that develops medical devices, pharmaceutical, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 37 on the 2018 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies. Johnson & Johnson is headquartered in New Brunswick, New Jersey, the consumer division being located in Skillman, New Jersey. The corporation includes some 250 subsidiary companies with operations in 60 countries and products sold in over 175 countries. Johnson & Johnson had worldwide sales of $70.1 billion during calendar year 2015.[6] Johnson & Johnson's brands include numerous household names of medications and first aid supplies. Among its well-known consumer products are the Band-Aid Brand line of bandages, Tylenol medications, Johnson's Baby products, Neutrogena skin and beauty products, Clean & Clear facial wash and Acuvue contact lenses."
6,"General Mills, Inc",United States,2012-02-03,https://www.generalmills.com/en/Responsibility/Sustainability/sustainable-sourcing,RSPO,"General Mills manufactures and markets branded consumer foods worldwide. The company offers cereals, yogurt, soup, dinners, vegetables, dough products, dessert and baking mixes, pizza and pizza snacks, snacks; and a range of organic products, including soup, cereals; ice cream and frozen desserts, and grain snacks. General mills currently uses palm in a number of products. It sells its products through its direct sales personnel to grocery stores and other retailers. The company was founded in 1928 and is based in Minneapolis, Minnesota."
7,The Hershey Company,United States,2011-04-21,https://www.thehersheycompany.com/en_us/sustainability/shared-business/palm-oil-facts.html,RSPO,"The Hershey Company is headquartered in the United States in Hershey, Pennsylvania and was founded in 1894 by Milton S. Hershey. Hershey is the largest producer of quality chocolate in North America and a global leader in chocolate and sugar confectionery. We market confectionery products in over 50 countries worldwide, employ more than 12,000 people and have revenues of more than $ 5 billion per year. Our mission is to bring sweet moments of Hershey happiness to the world every day. We do this through our values of being open to possibilities, making a difference, growing together and being one Hershey. This mission and these values are at the core of our work in Corporate Social Responsibility (CSR). We are building on Milton Hershey's legacy of commitment to consumers, community and children, by providing high-quality Hershey products while conducting our business in a socially responsible and environmentally sustainable manner. We have organized CSR-related business issues in four areas: environment, community, workplace and marketplace. In each area, we have defined priority statements and measurable targets. Our programs, priorities and targets are found in our CSR Report: www.thehersheycompany.com/social-responsibility/csr-report We will provide updates on our progress in future scorecard updates and CSR Reports. Regarding the Environment, we have identified sustainable sourcing as a priority. We seek to better understand the impacts of our current inputs and to learn how we can meet product requirements with more sustainable sourcing."
8,L'Oreal,France,2004-05-17,https://www.loreal.com/en/commitments-and-responsibilities/for-our-products/,RSPO,"Founded in 1907, L'Oreal is the first cosmetics company in the world with consolidated sales of 25,84 billion euros in 2016. The group has a global workforce of 89 300 employees and maintains a portfolio of 34 international brands, sold in 140 countries.. L'Oreal is the cosmetics industry's largest investor in research with 3.3% of the Group annual turnover dedicated to R&D."
9,The Procter & Gamble Company,United States,2010-09-20,https://us.pg.com/environmental-sustainability/ ,Wikipedia,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble.  It specializes in a wide range of personal health/consumer health, and personal care and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included foods, snacks, and beverages."
10,Colgate-Palmolive Company,United States,2002-10-07,https://www.colgatepalmolive.com/en-us/core-values/sustainability ,RSPO,"Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, Mennen, Softsoap, Irish Spring, Protex, Sorriso, Kolynos, elmex, Tom's of Maine, Sanex, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill's Science Diet and Hill's Prescription Diet."
11,Nestlé,Switzerland,2009-11-16,https://www.nestle.com/csv/impact ,RSPO,"Nestlé with headquarters in Vevey, Switzerland was founded in 1866 by Henri Nestlé and is today the world's leading nutrition, health and wellness company. Sales for 2008 were CHF 109.9 bn, with a net profit of CHF 18.0 bn. We employ around 283,000 people and have factories or operations in almost every country in the world. The Company's strategy is guided by several fundamental principles. Nestlé's existing products grow through innovation and renovation while maintaining a balance in geographic activities and product lines. Long-term potential is never sacrificed for short-term performance. The Company's priority is to bring the best and most relevant products to people, wherever they are, whatever their needs, throughout their lives. Today Nestlé is present in different markets in the following product categories: Coffee and Beverages, Waters, Dairy, Ice Cream, Confectionery, Infant Nutrition, Healthcare, Culinary including Frozen Foods, Petcare."
12,"Mars, Incorporated",United States,2010-12-03,https://www.mars.com/sustainability-plan ,RSPO,"Mars, Incorporated is a private, family-owned company employing more than 115,000 associates in 80 countries worldwide. Headquartered in McLean, Va., U.S., Mars, Incorporated is one of the world's largest food companies, generating global sales of more than $35 billion annually and operating in four business segments: Confectionery, Petcare, Food, and Drinks. These segments produce some of the world's leading brands: Confectionery: M&M'S®, SNICKERS®, DOVE®, GALAXY®, MARS®, MILKY WAY®, TWIX®, ORBIT®, EXTRA®, STARBURST®, DOUBLEMINT® and SKITTLES®; Petcare PEDIGREE®, WHISKAS®, SHEBA®, CESAR®, NUTRO®, GREENIES® and ROYAL CANIN®; Food UNCLE BEN'S®, DOLMIO®, EBLY®, MASTERFOODS® and SEEDS OF CHANGE®; Drinks KLIX® and FLAVIA®. For more information, please visit www.mars.com. MARS PALM POLICY Mars deals only with those suppliers who have respect for the environment and is committed to working with all stakeholders to make progress towards more sustainable production. We support the environment and the sustainable production of palm oil."
13,Unilever,Netherlands,2004-05-18,https://www.unilever.com/sustainable-living/ ,RSPO,"Unilever is an Anglo-Dutch manufacturer of branded fast-moving consumer goods. With Head Offices in London and Rotterdam, Unilever has operations in over 100 countries and sells products in over 150 countries. Unilever's mission is: Our mission is to add vitality to life. We meet everyday needs for hygiene, nutrition and personal care with brands that help people feel good, look good and get more out of life. Well known Unilever brands are Dove, Magnum, Knorr, Hellmann's, Persil, Axe, Lipton, Bertolli, Good Humor Bryer's, Cif, Royco. Unilever employs about 230,000 people worldwide. 2003 Sales was 47.7 B, pre-tax operating profit was 6.8 B. Unilever has three sustainability initiatives: on water, on fish and on agriculture. If you want to read more about our sustainable agriculture programme, please look at the Unilever website at: http://www.unilever.com/environmentsociety/sustainability  Specific documents, protocols, brochures etc can be found at: http://www.growingforthefuture.com"